Guys northem chile really needs a support message #PrayForChile	N G ^ R V D N N #	Guys northem chile really needs a support message #PrayForChile
RT @miketh3law : Kudos to whoever built this restaurant , saved a lot of people's lives for a 8.2 quake #PrayForChile http://t.co/LinNKL0ImV	~ @ ~ N P O V D N , V D N P S V P D $ N # U	RT @miketh3law: Kudos to whoever built this restaurant, saved a lot of people's lives for a 8.2 quake #PrayForChile http://t.co/LinNKL0ImV
RT @24HorasTVN : #CHILE se transforma en trending topic mundial tras el #terremoto 8.2 Richter . http://t.co/TyhsW2xUgb http://t.co/MxIQiSrmvr	~ @ ~ # G G R V N G G G # $ ^ , U U	RT @24HorasTVN: #CHILE se transforma en trending topic mundial tras el #terremoto 8.2 Richter. http://t.co/TyhsW2xUgb http://t.co/MxIQiSrmvr
Another example where strong #BuildingCodes stand up to 8.2 M EQ in #Chile saving lives & protecting homes #QuakeSmart http://t.co/n9pPIIgk4z	D N R A # V T P $ $ N P ^ V N & V N # U	Another example where strong #BuildingCodes stand up to 8.2M EQ in #Chile saving lives &amp; protecting homes #QuakeSmart http://t.co/n9pPIIgk4z
RT @5SOSMexico : I really dont have that much info about the earthquake in South America I only know it was in Chile but stay safe ! We lovey …	~ @ ~ O R V V D A N P D N P ^ ^ O R V O V P ^ & V A , O N ,	RT @5SOSMexico: I really dont have that much info about the earthquake in South America I only know it was in Chile but stay safe! We lovey…
RT @katolikongpinoy : Chile badly hit by 8.2 magnitude earthquake . We invite everyone to prayer . http://t.co/ZktnnAcLBZ	~ @ ~ ^ R V P $ N N , O V N P N , U	RT @katolikongpinoy: Chile badly hit by 8.2 magnitude earthquake. We invite everyone to prayer. http://t.co/ZktnnAcLBZ
#PrayForChile Stay strong !!! the whole world with you !!! n we'll save u ! <3	# V A , D A N P O , & L V O , E	#PrayForChile Stay strong!!!the whole world with you!!!n we'll save u!&lt;3
@jonnysit VIDEO of powerfull earthquake MAG 8.2 in Chile yesterday . http://t.co/vWkzeNCDWU	@ N P A N N $ P ^ N , U	@jonnysit VIDEO of powerfull earthquake MAG 8.2 in Chile yesterday. http://t.co/vWkzeNCDWU
#nowplaying Mood for love - @DemiLouiseMusic	# N P N , @	#nowplaying  Mood for love - @DemiLouiseMusic
RT @NewshoundMedia : People living in coastal areas of #Chile were evacuated . The #earthquake killed 6 people ( 5 men , 1 woman ) and damaged s …	~ @ ~ N V P A N P ^ V V , D N V $ N , $ N , $ N , & V G ~	RT @NewshoundMedia: People living in coastal areas of #Chile were evacuated. The #earthquake killed 6 people (5 men, 1 woman) and damaged s…
Huge Earthquake Off Chile http://t.co/cLEQcGuWGy	A N P ^ U	Huge Earthquake Off Chile http://t.co/cLEQcGuWGy
@AustinMahone happy birthday , God bless you and fill you with wisdom at this stage . I love you very much ! https://t.co/2XkxnBpZq0 x21	@ A N , ^ V O & V O P N P D N , O V O R A , U G	@AustinMahone happy birthday,God bless you and fill you with wisdom at this stage.I love you very much! https://t.co/2XkxnBpZq0 x21
RT @hipsregui : yesterday 8.2 earthquake ... today 7.4 earthquake ... PLEASE STOP ! #FuerzaChile #PrayForChile	~ @ ~ N $ N , N $ N , V V , # #	RT @hipsregui: yesterday 8.2 earthquake... today 7.4 earthquake... PLEASE STOP! #FuerzaChile #PrayForChile
@Phill_Butters @capital967 @magalyperu @malditaternura tu " happy birthday " importa ... :)	@ @ @ @ G , A N , G ~ E	@Phill_Butters @capital967 @magalyperu @malditaternura tu "happy birthday" importa...:)
Unfortunately , if we don't want to unite in love , God will make us unite in pain ... #PrayForChile	R , P O V V P V P N , ^ V V O V P N , #	Unfortunately,if we don't want to unite in love,God will make us unite in pain...#PrayForChile
There's been an 8.2 magnitude earthquake in Chile , killing at least 5 ... The top story on the news is that it's a bit dusty in London today .	L V D $ N N P ^ , V P A $ , D A N P D N V O L D N A P ^ N ,	There's been an 8.2 magnitude earthquake in Chile, killing at least 5... The top story on the news is that it's a bit dusty in London today.
Chile's magnitude 8.2 earthquake wasn't the ' Big One , ' geologists warn http://t.co/fhxNaa7cow	Z N $ N V D , A $ , , N V U	Chile's magnitude 8.2 earthquake wasn't the 'Big One,' geologists warn http://t.co/fhxNaa7cow
A tragar ...!!! 😛😛😛 (@ Sumito Sushi & Makis ) http://t.co/S3Ka6UZpME	D N , G P ^ ^ & ^ , U	A tragar...!!! 😛😛😛 (@ Sumito Sushi &amp; Makis) http://t.co/S3Ka6UZpME
RT @WeTheAlyson : @ForeverAlyson Hi Bryan ! I'm ok , thanks . The earthquake was at the north part of Chile and I'm not near there . Thanks for …	~ @ ~ @ ! ^ , L A , N , D N V P D ^ N P ^ & L R P R , N P ,	RT @WeTheAlyson: @ForeverAlyson Hi Bryan! I'm ok, thanks. The earthquake was at the north part of Chile and I'm not near there. Thanks for …
RT @JustToriAnne : #PrayForChile <3 why does it seem like they never can catch a break down there ? It seems like something tragic has to hap …	~ @ ~ # E R V O V P O R V V D N P R , O V P N A V P V ,	RT @JustToriAnne: #PrayForChile &lt;3 why does it seem like they never can catch a break down there? It seems like something tragic has to hap…
RT @Gracious_Gal : Devastation after 10 earthquakes is so scary , God only knows what a tsunami wud do . Please remember Chile in ur prayers t …	~ @ ~ N P $ N V R A , ^ R V O D N V V , V V ^ P D N G G	RT @Gracious_Gal: Devastation after 10 earthquakes is so scary, God only knows what a tsunami wud do. Please remember Chile in ur prayers t…
When disaster strikes , we respond and commit to recovery . Our response after the 2010 #ChileEarthquake : http://t.co/qcsCACknWo	R N N , O V & V P N , D N P D $ # , U	When disaster strikes, we respond and commit to recovery. Our response after the 2010 #ChileEarthquake: http://t.co/qcsCACknWo
M 4.6 - 97km NW of Copiapo , Chile 2014-04-10 10:25:32 UTC ( via @usgs ) http://t.co/auQ7P89xA9	^ $ , $ N P ^ , ^ $ $ N , P @ , U	M4.6  - 97km NW of Copiapo, Chile 2014-04-10 10:25:32 UTC (via @usgs) http://t.co/auQ7P89xA9
RT @BLCKMSSH : #PRAYFORCHILE AND PRAY FOR THE CENA FAMILY #RIPJOHNCENA http://t.co/wc5Fjehvzg	~ @ ~ ^ & V P D ^ ^ ^ U	RT @BLCKMSSH: #PRAYFORCHILE AND PRAY FOR THE CENA FAMILY #RIPJOHNCENA http://t.co/wc5Fjehvzg
RT @Kiva : These artisans in #Chile used a group loan to buy materials for their handcrafted products http://t.co/MZJgQyFsVy	~ @ ~ D N P ^ V D N N P V N P D A N U	RT @Kiva: These artisans in #Chile used a group loan to buy materials for their handcrafted products http://t.co/MZJgQyFsVy
We have been on a 1m tsunami alert all morning , from the Chile earthquake	O V V P D $ N N D N , P D ^ N	We have been on a 1m tsunami alert all morning, from the Chile earthquake
Estudiando ando ando . No molestar 📚📖✏️ (@ Home Sweet Home ) http://t.co/G3iQ13Rg4a http://t.co/bDBsYO63jV	^ ^ ^ , ! N G P N A N , U U	Estudiando ando ando. No molestar 📚📖✏️ (@ Home Sweet Home) http://t.co/G3iQ13Rg4a http://t.co/bDBsYO63jV
RT @Randy_Forbes : Taking a moment to pray for those impacted by the earthquake that hit off coast of northern Chile . #PrayforChile	~ @ ~ V D N P V P O V P D N P V T N P A ^ , #	RT @Randy_Forbes: Taking a moment to pray for those impacted by the earthquake that hit off coast of northern Chile. #PrayforChile
RT @CatholicRelief : Urgent Prayer Request : 8.2 mag earthquake with #Tsunami warnings and watches for Chile , Ecuador and Peru . Please RT : ht …	~ @ ~ A N N , $ N N P ^ N & V P ^ , ^ & ^ , V V , U ~	RT @CatholicRelief: Urgent Prayer Request: 8.2 mag earthquake with #Tsunami warnings and watches for Chile, Ecuador and Peru. Please RT: ht…
#ChileEarthquakeAndTsunami 8.2 magnitude and 2m waves killing 6 people http://t.co/hfOQnyC2Gr	# $ N & R V V $ N U	#ChileEarthquakeAndTsunami 8.2 magnitude and 2m waves killing 6 people http://t.co/hfOQnyC2Gr
RT @ProSyn : Could #Chile grow faster ? The country's economy is expected to grow by 3.7% or less in 2014 . Read @AndresVelasco http://t.co/lw …	~ @ ~ V ^ V R , D S N V V P V P $ & A P $ , V @ U ,	RT @ProSyn: Could #Chile grow faster? The country's economy is expected to grow by 3.7% or less in 2014. Read @AndresVelasco http://t.co/lw…
RT @AmySolva : #nicaraguaterremoto #Earthquake We're not in RED ALERT anymore , this is EXTREME ALERT #TerremotoNicaragua #Chile #Peru #Calif …	~ @ ~ # # L R P A N R , O V A N # # # # ,	RT @AmySolva: #nicaraguaterremoto #Earthquake We're not in RED ALERT anymore, this is EXTREME ALERT #TerremotoNicaragua #Chile #Peru #Calif…
sweet Save 10% from 123inkjets . com use coupon code TECH123 #PrayForChile Netflix	A V $ P $ , N V N N $ # ^	sweet Save 10% from 123inkjets .com use coupon code TECH123  #PrayForChile Netflix
RT @BreakingNews : Major earthquake , estimated at magnitude 8.0 , recorded 83 kilometers northwest of Iquique , Chile - @USGS http://t.co/LXG7 …	~ @ ~ A N , A P N $ , V $ N N P ^ , ^ , @ U ,	RT @BreakingNews: Major earthquake, estimated at magnitude 8.0, recorded 83 kilometers northwest of Iquique, Chile - @USGS http://t.co/LXG7…
Chilean agency reports magnitude 5.8 earthquake struck southwest of La Ligua , Chile , 2 days after major quake ... http://t.co/oD3z4tX493	^ N N N $ N V R P ^ ^ , ^ , $ N P A N , U	Chilean agency reports magnitude 5.8 earthquake struck southwest of La Ligua, Chile, 2 days after major quake... http://t.co/oD3z4tX493
Gloria Vanderbilt Kaley Cuoco Chile Earthquake Good April Fools Pranks Dancing With the Stars 2014 L ... http://t.co/RXzXrKyn9W	^ ^ ^ ^ ^ ^ ^ ^ ^ N V P D ^ $ G ~ U	Gloria Vanderbilt   Kaley Cuoco   Chile Earthquake   Good April Fools Pranks   Dancing With the Stars 2014   L...  http://t.co/RXzXrKyn9W
RT @KTFNJ : Prayers for everyone in Chile & those who are now in their eternal rest . #ChileEarthquake	~ @ ~ N P N P ^ & O O V R P D A N , #	RT @KTFNJ: Prayers for everyone in Chile &amp; those who are now in their eternal rest. #ChileEarthquake
RT @ShakingEarth : #Earthquake #Chile - 5 people have now been reported as killed ( 2 heart attack ) and 3 in a landslide - http://t.co/qf0j3 …	~ @ ~ ^ ^ , $ N V R V V P V , $ N N , & $ P D N , U ,	RT @ShakingEarth: #Earthquake #Chile - 5 people have now been reported as killed (2 heart attack) and 3 in a landslide -  http://t.co/qf0j3…
#prayforchile and those involved in the #earthquake	# & O V P D ^	#prayforchile and those involved in the #earthquake
In the #News at 4 : 500 feared dead as earthquake rocks Chile , Landmark High Court Decision on gender definition & a Cat could be back in AFL	P D N P $ , $ V A P N V ^ , ^ ^ ^ N P N N & D ^ V V R P ^	In the #News at 4: 500 feared dead as earthquake rocks Chile, Landmark High Court Decision on gender definition &amp; a Cat could be back in AFL
Thankfully my sister and her little family are okay down there in Chile ! #PrayForChile	R D N & D A N V A R R P ^ , #	Thankfully my sister and her little family are okay down there in Chile! #PrayForChile
RT @EWayneRoss : #WorldBank zeroes in on teachers , #Chile & #Peru prepare key reforms http://t.co/iFLwoB8f0C #neoliberalism #BCed #edchat	~ @ ~ # N P P N , ^ & # V A N U # # #	RT @EWayneRoss: #WorldBank zeroes in on teachers, #Chile &amp; #Peru prepare key reforms http://t.co/iFLwoB8f0C #neoliberalism #BCed #edchat
@1224thetami we all know that earthquake n tsunami r really scared ... hope all ppl in chile is in calm soon .	@ O X V D N & N V R A , V D N P ^ V P A R ,	@1224thetami we all know that earthquake n tsunami r really scared...  hope all ppl in chile is in calm soon.
RT [ http://t.co/q4MjeyrMUB ] 7.4 magnitude aftershock generates new tsunami warning in Chile	~ , U , $ N N V A N N P ^	RT [http://t.co/q4MjeyrMUB] 7.4 magnitude aftershock generates new tsunami warning in Chile
RT @CP24 : BREAKING : Tsunami advisory now issued for Hawaii due to earthquake ofF the coast of Chile .	~ @ ~ N , N N R V P ^ A P V P D N P ^ ,	RT @CP24: BREAKING: Tsunami advisory now issued for Hawaii due to earthquake ofF the coast of Chile.
No other earthquake more in Arica :S , God save us :S nervous Mode on	D A N R P ^ E , ^ V O E A N P	No other earthquake more in Arica :S, God save us :S nervous Mode on
RT @x3dreahidalgo : this is really insane #prayforChile http://t.co/KWqjSvrMgE	~ @ ~ O V R A # U	RT @x3dreahidalgo: this is really insane #prayforChile http://t.co/KWqjSvrMgE
Camino a Lurin , probando la Truckers #chevrolet #scrap #isuzu	^ D N , ! ^ N # # #	Camino a Lurin, probando la Truckers #chevrolet #scrap #isuzu
RT @barisanasional : Chile orders evacuation as 8.2 -magnitude quake kills 5 #ChileEarthquake http://t.co/oxQ4Gc5ODy	~ @ ~ ^ N N P $ N N V $ # U	RT @barisanasional: Chile orders evacuation as 8.2-magnitude quake kills 5 #ChileEarthquake http://t.co/oxQ4Gc5ODy
Impressive images of the #Chile #earthquake taken by #photojournalist @IvanAlvaradoE from @Reuters , http://t.co/mexgaqgIeJ	A N P D ^ ^ V P N @ P @ , U	Impressive images of the #Chile #earthquake taken by #photojournalist @IvanAlvaradoE from @Reuters, http://t.co/mexgaqgIeJ
RT @AP : Officials : No immediate threat of tsunami along U.S. coasts found after major quake near Chile : http://t.co/X4YKbI7IeG	~ @ ~ ^ , D A N P N P ^ N V P A N P ^ , U	RT @AP: Officials: No immediate threat of tsunami along U.S. coasts found after major quake near Chile: http://t.co/X4YKbI7IeG
7.8 magnitude earthquake has struck off northern Chile . It follows yesterday's 8.2 quake . Man - @MotherNature is pissed !	$ N N V V T A ^ , O V S $ N , N , @ V A ,	7.8 magnitude earthquake has struck off northern Chile. It follows yesterday's 8.2 quake. Man - @MotherNature is pissed!
RT @ShanaiSuazo19 : let's pray for chile and let our hearts open #PrayForChile	~ @ ~ L V P ^ & V D N V ^	RT @ShanaiSuazo19: let's pray for chile and let our hearts open #PrayForChile
RT @lachlan_kennedy : USGS upgrades earthquake off Chile's coast to 7.8 The Pacific Tsunami Warning centre says " no destructive tsunami thre …	~ @ ~ ^ N N P Z N P $ D ^ ^ ^ N V , D A N G G	RT @lachlan_kennedy: USGS upgrades earthquake off Chile's coast to 7.8 The Pacific Tsunami Warning centre says "no destructive tsunami thre…
#chile lonely make me wet http://t.co/j9ppLnsn9V	# A V O A U	#chile lonely make me wet http://t.co/j9ppLnsn9V
RT @PIANewsDesk : No #tsunami threat to Philippines after the 8.2 magnitude earthquake in #Chile . http://t.co/2JzNma1pY4 | via @PanahonTV	~ @ ~ D N N P ^ P D $ N N P ^ , U G P @	RT @PIANewsDesk: No #tsunami threat to Philippines after the 8.2 magnitude earthquake in #Chile. http://t.co/2JzNma1pY4 | via @PanahonTV
RT @diyeiyromero_ : " @imsergeramos : #PrayForChile Wth ! Earthquake 8.2 RS "	~ @ ~ , @ ~ # ! , N $ N ,	RT @diyeiyromero_: "@imsergeramos: #PrayForChile Wth! Earthquake 8.2 RS"
RT @cynthia_m159 : Chile has had 57 earthquakes in total for the past 2 days . They all range from 4.0 all the way up to 8.5 #PrayForChile	~ @ ~ ^ V V $ N P A P D A $ N , O D N P $ X D N P P $ #	RT @cynthia_m159: Chile has had 57 earthquakes in total for the past 2 days. They all range from 4.0 all the way up to 8.5 #PrayForChile
@Kari_EvTh I know that feel , bro :'(	@ O V O V , N E	@Kari_EvTh I know that feel, bro :'(
Praying for everyone effected by the 8.3 earthquake in Chile . <3 #ChileEarthquake	V P N V P D $ N P ^ , E #	Praying for everyone effected by the 8.3 earthquake in Chile. &lt;3 #ChileEarthquake
6.4 earthquake , 47km W of Iquique , Chile . Apr 2 20:58 at epicenter ( 20m ago , depth 10km ) . http://t.co/RB3vMDWqHw	$ N , ^ ^ P ^ , ^ , ^ $ $ P N , $ R , N N , , U	6.4 earthquake, 47km W of Iquique, Chile. Apr 2 20:58 at epicenter (20m ago, depth 10km). http://t.co/RB3vMDWqHw
#NatashaCann 8.2 earthquake rattles Chile’s mining hub , ports : World prices for copper jumped as ... http://t.co/g9yi4b5W5U @natasha_cann	# $ N V Z N N , N , ^ N P N V P ~ U @	#NatashaCann 8.2 earthquake rattles Chile’s mining hub, ports: World prices for copper jumped as... http://t.co/g9yi4b5W5U @natasha_cann
RT @cnnbrk : Start of #Chile #mine rescue could slip to Thursday , official says . http://on.cnn.com/b5WoSY	~ @ ~ V P ^ # V V V P ^ , A N , U	RT @cnnbrk: Start of #Chile #mine rescue could slip to Thursday, official says. http://on.cnn.com/b5WoSY
RT @MartikaTunes : Praying for all who are affected by this Earthquake/Tsunami in Chile :( :( :(	~ @ ~ V P D O V V P D N P ^ E E E	RT @MartikaTunes: Praying for all who are affected by this Earthquake/Tsunami in Chile :(:(:(
BBC News - Chile earthquake : Panic buying as cleanup effort continues http://t.co/lErMrrwQv9	^ ^ , ^ N , N V P N N V U	BBC News - Chile earthquake: Panic buying as cleanup effort continues http://t.co/lErMrrwQv9
I hope everything is gonna be alright . God is always with us . #PrayForChile	O V N V V V R , ^ V R P O , #	I hope everything is gonna be alright.God is always with us.  #PrayForChile
RT @SantiagoTimes : #Tsunami warning lifted from Antofagasta to Valparaíso . #Chileearthquake #terremotoChile	~ @ ~ # V V P ^ P ^ , # #	RT @SantiagoTimes: #Tsunami warning lifted from Antofagasta to Valparaíso. #Chileearthquake #terremotoChile
RT @rosario_belen : @kristywyc_ THANK U HUN WASNT A GOOD ONE BC IM IN THE EPICENTRE OF THE EARTHQUAKE BUT IM OKAY👌 THANK U AGAIN #PrayForChi …	~ @ ~ @ V O N V D A $ P L P D N P D N & L ^ V O R # ,	RT @rosario_belen: @kristywyc_ THANK U HUN WASNT A GOOD ONE BC IM IN THE EPICENTRE OF THE EARTHQUAKE BUT IM OKAY👌 THANK U AGAIN #PrayForChi…
my country is so strong . #PrayForChile #FuerzaNorteDeChile 🙏👼	D N V R A , # # #	my country is so strong. #PrayForChile  #FuerzaNorteDeChile 🙏👼
RT @jessiwca_ : may god bless you all & please keep praying !! #PrayForTheWorld #PrayForIndonesia #PrayForSouthKorea #PrayForChile #PrayForUk …	~ @ ~ V ^ V O D & V V V , # # # # # ,	RT @jessiwca_: may god bless you all &amp; please keep praying!! #PrayForTheWorld #PrayForIndonesia #PrayForSouthKorea #PrayForChile #PrayForUk…
RT @DeenaNicoleMTV : Sending my prayers to the people in chile .. These earthquakes are getting worse and worse .. I hope everyone is okay #P …	~ @ ~ V D N P D N P ^ , D N V V A & A , O V N V A # ,	RT @DeenaNicoleMTV: Sending my prayers to the people in chile ..These earthquakes are getting worse and worse .. I hope everyone is okay #P…
An extremely powerful earthquake struck Chile recently , or as residents of Chile all it , just another fucking day . #chile #hurtsdontit	D R A N V ^ R , & P N P ^ D O , R D A N , # #	An extremely powerful earthquake struck Chile recently, or as residents of Chile all it, just another fucking day.  #chile #hurtsdontit
RT @RT_com : #CHILE : Electricity is out in Iquique as 8.2 earthquake strikes off country's shore http://t.co/fNkmj8l4E2	~ @ ~ # , N V P P ^ P $ N V T S N U	RT @RT_com: #CHILE: Electricity is out in Iquique as 8.2 earthquake strikes off country's shore http://t.co/fNkmj8l4E2
#Chile deployed military to respond to 8.2 earthquake & evacuated 900K after tsunami alert . Alert now lifted . http://t.co/0MeEvY3sAy	# V A P V P $ N & V $ P N N , N R V , U	#Chile deployed military to respond to 8.2 earthquake &amp; evacuated 900K after tsunami alert.  Alert now lifted.  http://t.co/0MeEvY3sAy
There have been two earthquakes in the north of Chile in two days and more than 200 replies since yesterday . #PrayForChile . Fuerzas Chile 💞	X V V $ N P D N P ^ P $ N & A P $ N P N , # , ^ ^ ^	There have been two earthquakes in the north of Chile in two days and more than 200 replies since yesterday. #PrayForChile. Fuerzas Chile 💞
Mashable : Six people are dead following the 8.2 -magnitude earthquake that struck off the coast of Chile on Tuesday . Chile’s Interio ...	^ , $ N V A V D $ N N P V T D N P ^ P ^ , Z ^ ,	Mashable :  Six people are dead following the 8.2-magnitude earthquake that struck off the coast of Chile on Tuesday. Chile’s Interio...
#PrayForChile #Chile #earthquake #ChileEarthquake Pollution to spread across England http://t.co/fQwPOuHjEt	# # # # N P V P ^ U	#PrayForChile #Chile #earthquake #ChileEarthquake Pollution to spread across England http://t.co/fQwPOuHjEt
RT @seismo_steve : M 8.2 Chile #earthquake nucleated at edge of highly locked ( stuck ) part of subduction megathrust fault @CPPGeophysics http …	~ @ ~ E $ ^ ^ V P N P R V , V , N P N N N @ U ,	RT @seismo_steve: M8.2 Chile #earthquake nucleated at edge of highly locked (stuck) part of subduction megathrust fault @CPPGeophysics http…
A magnitude 8.2 earthquake struck Chile last night . Our thoughts and prayers go out to our friends , clients , and their families .	D N $ N V ^ A N , D N & N V P P D N , N , & D N ,	A magnitude 8.2 earthquake struck Chile last night. Our thoughts and prayers go out to our friends, clients, and their families.
demi prays for chile 8.0 earthquake , but never in the philippines	^ V P ^ $ N , & R P D N	demi prays for chile 8.0 earthquake, but never in the philippines
Update : The Chilean Navy says it has cancelled the tsunami alert for Chile's coastline following a 7.8 -magnitude earthquake . -- ABCNews24	N , D ^ ^ V O V V D N N P Z N V D $ N N , , ^	Update: The Chilean Navy says it has cancelled the tsunami alert for Chile's coastline following a 7.8-magnitude earthquake. -- ABCNews24
RT @firebomb56 : NEW Tsunami WARNING for Chile & Peru via @NWS_PTWC . Magnitude upgraded to 7.8 . #hitsunami	~ @ ~ A N N P ^ & ^ P @ , N V P $ , #	RT @firebomb56: NEW Tsunami WARNING for Chile &amp; Peru via @NWS_PTWC. Magnitude upgraded to 7.8. #hitsunami
#Sismo de Mw 6.1 OFFSHORE TARAPACA , CHILE http://t.co/Zpau2fyFj8 #UltimaHora	# P G $ A N , ^ U #	#Sismo de Mw 6.1  OFFSHORE TARAPACA, CHILE http://t.co/Zpau2fyFj8 #UltimaHora
RT @firebomb56 : Earthquake , preliminary magnitude 7.4 off the coast of Northern Chile . No destructive Pacific-wide tsunami expected . #hitsu …	~ @ ~ N , A N $ P D N P ^ ^ , D A ^ N V , # ,	RT @firebomb56: Earthquake, preliminary magnitude 7.4 off the coast of Northern Chile. No destructive Pacific-wide tsunami expected. #hitsu…
SEE IT : Diners panic as magnitude- 8.2 earthquake rocks Chile http://t.co/gLim7td4xM	V O , N N P N $ N V ^ U	SEE IT: Diners panic as magnitude-8.2 earthquake rocks Chile http://t.co/gLim7td4xM
RT @SalArmyTX : #Watch #new @SArmyToday ! #SalArmy responds to 8.2 #ChileEarthquake , PA's flea market , next Supermarket Sweep ! Watch : http://…	~ @ ~ # # @ , # V P $ ^ , Z N N , A N N , V , U	RT @SalArmyTX: #Watch #new @SArmyToday! #SalArmy responds to 8.2 #ChileEarthquake, PA's flea market, next Supermarket Sweep! Watch: http://…
SHINee invade Chicken Story #SHINee #Chile . http://t.co/3dvT8OhFaC	^ V ^ N # # , U	SHINee invade Chicken Story #SHINee #Chile. http://t.co/3dvT8OhFaC
Pictures of the day : 2 April 2014 : Polar bears , Chile earthquake and a chainsaw in an x-ray http://t.co/5zm9Ot1JBX	N P D N , P ^ $ , ^ ^ , ^ N & D N P D N U	Pictures of the day: 2 April 2014: Polar bears, Chile earthquake and a chainsaw in an x-ray     http://t.co/5zm9Ot1JBX
Powerful earthquake kills 6 in Chile : Santiago , Apr 2 ( EFE ) . - A magnitude- 8.2 earthquake hit northern Chile , killing six people , offi ...	A N V $ P ^ , ^ , ^ $ , ^ , , , D N $ N V A ^ , V $ N , G ~	Powerful earthquake kills 6 in Chile: Santiago, Apr 2 (EFE).- A magnitude-8.2 earthquake hit northern Chile, killing six people, offi...
God protect Chile , God always there for help Chile #PrayForChile O: ) Amen	^ V ^ , ^ R R P V ^ # E , !	God protect Chile, God always there for help Chile #PrayForChile O:) Amen
The 8.2 earthquake in Chile allowed 300 women inmates to escape prison . There are 300 crazy women roaming the streets .	D $ N P ^ V $ N N P V N , X V $ A N V D N ,	The 8.2 earthquake in Chile allowed 300 women inmates to escape prison. There are 300 crazy women roaming the streets.
Deadly earthquake and evacuation in Chile | @scoopit http://t.co/drnQ23HOjz	A N & N P ^ G @ U	Deadly earthquake and evacuation in Chile | @scoopit http://t.co/drnQ23HOjz
#NP It will rain - Bruno Mars	# O V V , ^ ^	#NP It will rain - Bruno Mars
Chile's emergency amateur network activated due to earthquake . http://t.co/0gc19YfZIi	Z N N N V A P N , U	Chile's emergency amateur network activated due to earthquake. http://t.co/0gc19YfZIi
President Cautious as 8.2 Quake Kills 5 in Chile : Chile's President Bachelet cautious on tsunami threat as 8.2 quake kills 5 in north ...	N A P $ N V $ P ^ , Z ^ ^ A P N N P $ N V $ P N ,	President Cautious as 8.2 Quake Kills 5 in Chile: Chile's President Bachelet cautious on tsunami threat as 8.2 quake kills 5 in north...
#Chile	#	#Chile
Whatever you gotta do today , just remember & do not forget to #PrayForChile	! O V V N , R V & V R V P #	Whatever you gotta do today, just remember &amp; do not forget to #PrayForChile
Earthquake is Due to Collision of Crustal Plates of Earth due to its Pressure . The Crustal Plate Located in Chile ... http://t.co/hfYH52APjh	N V A P N P ^ N P ^ A P L N , D ^ ^ V P ^ , U	Earthquake is Due to Collision of Crustal Plates of Earth due to its Pressure.The Crustal Plate Located in Chile... http://t.co/hfYH52APjh
Chile Earthquake Prompts Break Out From Women's Prison - ABC News http://t.co/ZPlzEcJARt via @ABC	^ ^ V V T P Z N , ^ ^ U P @	Chile Earthquake Prompts Break Out From Women's Prison - ABC News http://t.co/ZPlzEcJARt  via @ABC
#PrayForChile for the people affected by earthquake ( 8.2 ) . #PrayForTurkey for the people affected by votequake ( 9.9 ) .	# P D N V P N , $ , , # P D N V P ^ , $ , ,	#PrayForChile for the people affected by earthquake (8.2). #PrayForTurkey for the people affected by votequake (9.9).
RT @avoncoaster : i close my eyes and pray #prayforchile	~ @ ~ O V D N & V #	RT @avoncoaster: i close my eyes and pray #prayforchile
@Remymeow <3 send me a kiss , i'll die in peace after that :)	@ E V O D N , L V P N P O E	@Remymeow &lt;3 send me a kiss , i'll die in peace after that :)
RT @SofiaAndBieber : Thanks for all good wishes , my country is beautiful and strong #ChileEarthquake #chile #FuerzaNorteDeChile #FuerzaChile …	~ @ ~ N P D A N , D N V A & A # # # # ,	RT @SofiaAndBieber: Thanks for all good wishes, my country is beautiful and strong #ChileEarthquake #chile #FuerzaNorteDeChile #FuerzaChile…
The cost of power is paid with pain and casualties , NEVER with regret #HouseOfCards	D N P N V V P N & N , R P V #	The cost of power is paid with pain and casualties, NEVER with regret #HouseOfCards
RT @AhNoticiasMega : Sismo 7.4 earthquake , 40km SW of Iquique , Chile . Apr 2 23:43 at epicenter ( 9m ago , depth 10km ) . ( Vía @NewEarthquake )	~ @ ~ ^ $ N , $ N P ^ , ^ , ^ $ $ P N , $ R , N N , , , G @ ,	RT @AhNoticiasMega: Sismo  7.4 earthquake, 40km SW of Iquique, Chile. Apr 2 23:43 at epicenter (9m ago, depth 10km). (Vía @NewEarthquake)
RT @bigstormpicture : 7.8 aftershock ( or preshock ? ) in Chile . http://t.co/A7JjDvzhTa	~ @ ~ $ N , & N , , P ^ , U	RT @bigstormpicture: 7.8 aftershock (or preshock?) in Chile.  http://t.co/A7JjDvzhTa
My prayers go to the victims of the earthquake and tsunami that recently hit Chile . May God bless them ♥♥♥	D N V P D N P D N & N P R V ^ , ^ ^ V O E	My prayers go to the victims of the earthquake and tsunami that recently hit Chile. May God bless them ♥♥♥
RT @PeruviansUnited : That Earthquake in Chile was not playing now I hear that Mexico could be in a warning like wtf ........... PRAYFORLATINA …	~ @ ~ D N P ^ V R V R O V P ^ V V P D N P ! , G ,	RT @PeruviansUnited: That Earthquake in Chile was not playing now I hear that Mexico could be in a warning like wtf...........PRAYFORLATINA…
The science of the Chile Megaquake via @mikamckinnon http://t.co/rKBcVooudQ	D N P D ^ ^ P @ U	The science of the Chile Megaquake via @mikamckinnon http://t.co/rKBcVooudQ
